NO.,코드,가입일,구분,지회,조회Key,회사명,대표자,전화번호,FAX,주소,홈페이지
137,214,2010/08/19,용역,호남,ㅊ,㈜천일건축엔지니어링종합건축사사무소,한규봉,(02)578-2921,(02)574-2910,(06309)서울특별시 강남구 개포로32길 7,www.cade.co.kr
138,257,2017/03/31,용역,호남,ㅊ,㈜청우이엔지,"이원강, 서윤선",(02)514-1191,(02)514-6119,(06533)서울시 서초구 신반포로 308 남일빌딩 4층(반포동),www.cwe.co.kr
139,161,2006/70/04,용역,충청,ㅊ,㈜청우종합건축사사무소,연동익,(043)276-7213,(043)276-7226,"(28469)충청북도 청주시 흥덕구 사운로 190 주성빌딩 2층, 3층",cheongwoo94.co.kr
140,229,2012/01/27,용역,중부,ㅊ,㈜청해종합기술공사,김영준,(032)465-3095,(032)467-3095,(22221)인천광역시 남구 학익소로 66 선정빌딩,www.chce.co.kr
141,258,2017/08/10,용역,중부,ㅊ,㈜친친디,서승원,1599-4217,(02)563-8531,"(06210)서울특별시 강남구 테헤란로44길 8, 5층 1호,16호",www.친친디.com
142,235,2012/07/15,용역,중부,ㅋ,㈜케이디엔지니어링건축사사무소,서정식,(031)717-4860,(031)717-4862,(13637)경기도 성남시 분당구 구미로9번길 3-10 글로리타워,www.kdeng.co.kr
143,169,2007/04/11,용역,중부,ㅋ,㈜케이씨엠씨,곽동구,(02)518-4374,(02)518-4311,(06128)서울특별시 강남구 강남대로 102길 46,www.kcmc.co.kr
144,268,2018/04/17,용역,중부,ㅋ,㈜케이피디앤씨,구동열,(031)398-0934,(031)346-9899,(14054)경기도 안양시 동안구 시민대로 267 아크로팰리스 504호,
145,194,2009/01/12,용역,중부,ㅌ,㈜토문엔지니어링건축사사무소,"최두호,김기성,한남수,최기철",(02)515-5001,(02)512-7934,(05839)서울특별시 송파구 충민로 52 가든파이브웍스 D동 10층,www.tomoon.co.kr
146,289,2022/09/07,용역,중부,ㅌ,㈜토인이앤씨건축사사무소,김진호,02-501-4721,02-501-4275,(05600)서울특별시 송파구 삼학사로 19길 38-1 대일빌딩 3층,www.toinenc.com
147,45,2001/11/18,용역,중부,ㅌ,㈜토코마,박지훈,(02)3273-4343,(02)3273-2055,(04175)서울특별시 마포구 마포대로 12 한신빌딩 1015호,tocoma.kr
148,43,1999/72/21,용역,중부,ㅌ,㈜토펙엔지니어링건축사사무소,"김철중, 전홍철",(070)7609-4064,(02)579-7168,(06157) 서울특별시 강남구 삼성로95길 6 토펙삼성빌딩,www.topec.co.kr
149,227,2012/01/05,용역,중부,ㅌ,㈜티에스엔지니어링건축사사무소,정영욱,(032)507-6443,(032)507-6442,(21396)인천광역시 부평구 장제로75번길 3 신영빌딩 4층,
150,285,2021/06/02,용역,중부,ㅍ,㈜펨코엔지니어링건축사사무소,"류중수,홍정선",(02)554-2090,(02)554-2089,"(06653) 서울특별시 서초구 반포대로12길 30 (서초동, 펨코사옥)",pemcocm.com
151,250,2016/03/30,용역,호남,ㅍ,㈜평화엔지니어링,권선준,(031)420-7212,(031)420-7239,"(58217)전라남도 나주시 문화로 194, 601호(빛가람동, 티타워빌딩)",www.pec.kr
152,105,2003/30/06,용역,호남,ㅍ,㈜포스코에이앤씨건축사사무소,전훈태,(02)2018-7700,(02)2018-7799,"(21998)인천광역시 연수구 컨벤시아대로 165, 포스코타워 24층",www.poscoanc.com
153,122,2003/22/23,시공,영남1,ㅍ,㈜포스코이앤씨,이영훈,(031)370-9822,(031)370-9829,(37863)경상북도 포항시 남구 대송로 180,www.poscoenc.com
154,297,2024/03/13,용역,영남1,ㅍ,㈜피씨엠글로벌기술사건축사사무소,윤성도,02-3472-7894,02-3472-7895,"서울 서초구 서운로 13, 607호(서초동, 중앙로얄오피스텔)",www.pcmglobal.co.kr
155,223,2011/06/08,용역,영남1,ㅎ,㈜하우드엔지니어링종합건축사사무소,김성우,(02)2140-4400,(02)3452-6610,(05661)서울특별시 송파구 중대로25길 3-16,www.haud.co.kr
156,306,2026/05/27,용역,영남1,ㅎ,㈜하우빌드,이승기,1600-9580,0303-0303-3420,"서울특별시 강남구 테헤란로 439, 14층(삼성동)",www.howbuild.com
157,301,2025/04/01,용역,영남1,ㅎ,㈜하이빌드씨엠,"이윤희, 안상영",(053)763-0558,(053)383-0558,"(42162) 대구광역시 수성구 들안로13길 50, 203호(상동)",
158,271,2018/08/14,용역,영남1,ㅎ,㈜한국도시주택연구원,이진만,(02)455-7773,(02)453-7774,(05063)서울특별시 광진구 뚝섬로 599. 3층 (자양동),
159,242,2014/07/14,용역,영남1,ㅎ,㈜한국씨엠씨,신현국,(02)517-0500,(02)3478-0768,(08394)서울특별시 구로구 디지털로 242 한화비즈메트로1차 4층,www.hkcmc.co.kr/
160,15,2002/22/23,용역,중부,ㅎ,한국전력기술㈜,이배수,(031)289-3114,(031)283-6215,(16921)경기도 용인시 기흥구 용구대로 2354,www.kopec.co.kr
161,40,2002/22/27,용역,중부,ㅎ,㈜한국종합기술,이상민,(02)2049-5114,(02)2049-5100,(05288)서울특별시 강동구 상일로 6길 21,www.kecc.co.kr
162,64,1997/22/27,시공,중부,ㅎ,㈜한라,이석민,(02)3434-5508,(02)3432-0052,(05510)서울특별시 송파구 올림픽로 289 시그마타워,www.halla.com
163,232,2012/04/19,용역,중부,ㅎ,㈜한림건축씨엠종합건축사사무소,박진순,(02)6370-1500,(02)2179-9817,(04513)서울특별시 중구 서소문동 75번지 ENA Center 8층,www.hanlimgroup.com
164,192,2008/01/15,용역,영남2,ㅎ,㈜한림이앤씨건축사사무소,윤찬중,(052)277-0163,(052)277-0168,(44632)울산광역시 남구 북부순환도로 17 남운프라자 1605호,www.hanlimeng.com
165,35,1999/70/01,용역,영남2,ㅎ,㈜한미글로벌건축사사무소,"윤요현, 박서영",(02)3429-6300,(02)3429-6363,(06164)서울특별시 강남구 테헤란로87길 36 도심공항타워빌딩 9층,www.hanmiglobal.com
166,135,2005/11/14,용역,영남2,ㅎ,㈜한성개발공사,강해운,(055)334-7501,(055)322-8621,(50930)경상남도 김해시 분성로 524,www.h-sung.com
167,264,2018/02/13,용역,영남2,ㅎ,㈜한성건축엔지니어링,김제근,(02)3474-3121,(02)3474-3122,"(06649)서울특별시 서초구 사임당로 11(서초동, 정민빌딩 3층)",www.hansungeng.com
168,220,2011/01/21,시공,영남2,ㅎ,한웅건설㈜,"권도춘,오택명",(051)255-0670,(051)255-1275,(49223)부산광역시 서구 보수대로 105-1 한웅빌딩 13층,www.hanwoongcon.com
169,233,2012/05/24,용역,영남2,ㅎ,㈜한원포럼건축사사무소,이주훈,(02)2226-0942,(02)2226-7682,"(05718)서울특별시 송파구 중대로 113, 7층(가락동, 전기회관)",www.hanwon21.com
170,284,2021/04/09,용역,영남2,ㅎ,㈜함께함,홍순정,(02)919-7778,(02)919-7779,(02797)서울특별시 성북구 월곡로 7길 7,
171,183,2008/41/10,용역,영남2,ㅎ,㈜해안종합건축사사무소,"윤세한,김태만",(02)3438-8000,(02)3438-8101,(06135)서울특별시 강남구 봉은사로 208 해안빌딩,www.haeahn.com
172,151,2005/11/14,용역,중부,ㅎ,㈜행림종합건축사사무소,"이용호,한규철,임동건,박철홍",(02)526-8056,(02)526-8051,(13943)경기도 안양시 동안구 흥안대로 516 행림멤피스타워,www.e-haenglim.com
173,66,1997/22/27,시공,중부,ㅎ,현대건설㈜,이한우,(02)746-2762,(02)746-3122,(03058)서울특별시 종로구 율곡로 75(계동),www.hdec.kr
174,201,2009/08/03,용역,중부,ㅎ,㈜혜인이엔씨,최용석,(02)2093-2200,(02)2093-2205,(07547)서울특별시 강서구 양천로 583 우림블루나인비지니스센터 A동 24층,www.hyein.com
175,68,1997/22/27,시공,영남1,ㅎ,화성산업㈜,"이홍중, 이종원",(053)767-2111,(053)768-9318,(42149)대구광역시 수성구 동대구로 111,www.hwasung.com
176,154,2006/22/23,용역,영남1,ㅎ,㈜휴먼아키피아종합건축사사무소,도회만,(02)412-1118,(02)420-2519,(05631)서울특별시 송파구 백제고분로 470 휴먼빌딩 6층,www.humanarchipia.co.kr
177,179,2008/11/13,용역,중부,ㅎ,㈜휴먼텍코리아엔지니어링건축사사무소,"이규홍, 이충기",(031)751-6882,(031)751-6862,(13313) 경기도 성남시 수정구 성남대로 1171 삼성화재 성남사옥 3층,www.humanteceng.co.kr/index2.php
178,20,2000/00/04,용역,중부,ㅎ,㈜희림종합건축사사무소,"정영균, 권기재",(02)3410-9114,(02)3410-9098,(05288)서울특별시 강동구 상일로6길 39,www.heerim.com
179,287,2021/12/14,용역,중부,ㅎ,㈜힐탑엠앤씨,전현성,(02)983-3757,(02)945-3756,"(04775)서울특별시 성동구 뚝섬로4길 11, 202호",
180,65,1997/22/27,시공,영남2,ㅎ,㈜HJ중공업,이병모,(02)450-8022,(02)450-8101,(49001)부산광역시 영도구 태종로 233,www.hanjinsc.com
181,245,2015/03/26,용역,영남2,o,오선엔지니어링㈜,민이식,(02)2164-8200,(02)2164-8204,"(07270)서울특별시 영등포구 양산로 43, 우림이비즈센터 812호",www.osuneng.co.kr
